model.layers.0.self_attn.q_proj Original: Kurtosis=1036.37, Min=-5.64, Max=6.46
model.layers.0.self_attn.q_proj Hadamard: Kurtosis=0.48, Min=-0.48, Max=0.50
model.layers.0.self_attn.k_proj Original: Kurtosis=1036.37, Min=-5.64, Max=6.46
model.layers.0.self_attn.k_proj Hadamard: Kurtosis=0.48, Min=-0.48, Max=0.50
model.layers.0.self_attn.v_proj Original: Kurtosis=1036.37, Min=-5.64, Max=6.46
model.layers.0.self_attn.v_proj Hadamard: Kurtosis=0.48, Min=-0.48, Max=0.50
model.layers.0.self_attn.o_proj Original: Kurtosis=50.90, Min=-0.34, Max=0.34
model.layers.0.self_attn.o_proj Hadamard: Kurtosis=13.05, Min=-0.17, Max=0.21
model.layers.0.mlp.gate_proj Original: Kurtosis=19.40, Min=-2.62, Max=3.05
model.layers.0.mlp.gate_proj Hadamard: Kurtosis=0.43, Min=-0.64, Max=0.73
model.layers.0.mlp.up_proj Original: Kurtosis=19.40, Min=-2.62, Max=3.05
model.layers.0.mlp.up_proj Hadamard: Kurtosis=0.43, Min=-0.64, Max=0.73
model.layers.0.mlp.down_proj Original: Kurtosis=920634.88, Min=-97.69, Max=162.25
model.layers.0.mlp.down_proj Hadamard: Kurtosis=1795.17, Min=-7.19, Max=7.19
model.layers.1.self_attn.q_proj Original: Kurtosis=139.98, Min=-5.12, Max=5.94
model.layers.1.self_attn.q_proj Hadamard: Kurtosis=0.01, Min=-0.98, Max=0.98
model.layers.1.self_attn.k_proj Original: Kurtosis=139.98, Min=-5.12, Max=5.94
model.layers.1.self_attn.k_proj Hadamard: Kurtosis=0.01, Min=-0.98, Max=0.98
model.layers.1.self_attn.v_proj Original: Kurtosis=139.98, Min=-5.12, Max=5.94
model.layers.1.self_attn.v_proj Hadamard: Kurtosis=0.01, Min=-0.98, Max=0.98
model.layers.1.self_attn.o_proj Original: Kurtosis=58.09, Min=-0.57, Max=0.57
model.layers.1.self_attn.o_proj Hadamard: Kurtosis=9.08, Min=-0.14, Max=0.16
model.layers.1.mlp.gate_proj Original: Kurtosis=293.25, Min=-11.33, Max=11.33
model.layers.1.mlp.gate_proj Hadamard: Kurtosis=0.55, Min=-0.67, Max=0.67
model.layers.1.mlp.up_proj Original: Kurtosis=293.25, Min=-11.33, Max=11.33
model.layers.1.mlp.up_proj Hadamard: Kurtosis=0.55, Min=-0.67, Max=0.67
model.layers.1.mlp.down_proj Original: Kurtosis=250674.06, Min=-16.41, Max=16.41
model.layers.1.mlp.down_proj Hadamard: Kurtosis=615.77, Min=-1.04, Max=1.04
model.layers.2.self_attn.q_proj Original: Kurtosis=53.91, Min=-7.50, Max=7.50
model.layers.2.self_attn.q_proj Hadamard: Kurtosis=0.28, Min=-1.96, Max=1.96
model.layers.2.self_attn.k_proj Original: Kurtosis=53.91, Min=-7.50, Max=7.50
model.layers.2.self_attn.k_proj Hadamard: Kurtosis=0.28, Min=-1.96, Max=1.96
model.layers.2.self_attn.v_proj Original: Kurtosis=53.91, Min=-7.50, Max=7.50
model.layers.2.self_attn.v_proj Hadamard: Kurtosis=0.28, Min=-1.96, Max=1.96
model.layers.2.self_attn.o_proj Original: Kurtosis=41.58, Min=-0.45, Max=0.51
model.layers.2.self_attn.o_proj Hadamard: Kurtosis=16.75, Min=-0.36, Max=0.41
model.layers.2.mlp.gate_proj Original: Kurtosis=1.76, Min=-2.40, Max=2.59
model.layers.2.mlp.gate_proj Hadamard: Kurtosis=0.23, Min=-0.77, Max=0.77
model.layers.2.mlp.up_proj Original: Kurtosis=1.76, Min=-2.40, Max=2.59
model.layers.2.mlp.up_proj Hadamard: Kurtosis=0.23, Min=-0.77, Max=0.77
model.layers.2.mlp.down_proj Original: Kurtosis=388.24, Min=-1.02, Max=1.02
model.layers.2.mlp.down_proj Hadamard: Kurtosis=1.49, Min=-0.08, Max=0.08
model.layers.3.self_attn.q_proj Original: Kurtosis=84.09, Min=-9.05, Max=9.05
model.layers.3.self_attn.q_proj Hadamard: Kurtosis=0.43, Min=-1.80, Max=1.81
model.layers.3.self_attn.k_proj Original: Kurtosis=84.09, Min=-9.05, Max=9.05
model.layers.3.self_attn.k_proj Hadamard: Kurtosis=0.43, Min=-1.80, Max=1.81
model.layers.3.self_attn.v_proj Original: Kurtosis=84.09, Min=-9.05, Max=9.05
model.layers.3.self_attn.v_proj Hadamard: Kurtosis=0.43, Min=-1.80, Max=1.81
model.layers.3.self_attn.o_proj Original: Kurtosis=15.12, Min=-0.43, Max=0.60
model.layers.3.self_attn.o_proj Hadamard: Kurtosis=13.16, Min=-0.30, Max=0.30
model.layers.3.mlp.gate_proj Original: Kurtosis=1.73, Min=-2.44, Max=2.63
model.layers.3.mlp.gate_proj Hadamard: Kurtosis=0.17, Min=-0.80, Max=0.80
model.layers.3.mlp.up_proj Original: Kurtosis=1.73, Min=-2.44, Max=2.63
model.layers.3.mlp.up_proj Hadamard: Kurtosis=0.17, Min=-0.80, Max=0.80
model.layers.3.mlp.down_proj Original: Kurtosis=412.84, Min=-1.38, Max=1.41
model.layers.3.mlp.down_proj Hadamard: Kurtosis=1.24, Min=-0.10, Max=0.10
model.layers.4.self_attn.q_proj Original: Kurtosis=56.12, Min=-8.67, Max=8.67
model.layers.4.self_attn.q_proj Hadamard: Kurtosis=0.39, Min=-2.08, Max=2.08
model.layers.4.self_attn.k_proj Original: Kurtosis=56.12, Min=-8.67, Max=8.67
model.layers.4.self_attn.k_proj Hadamard: Kurtosis=0.39, Min=-2.08, Max=2.08
